issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]",Claude access lost,Claude,"Only the appropriate organization owner or admin can restore access by assigning a seat or changing the member's seat status. If your seat was removed, ask your workspace owner or admin to update your seat assignment in Organization settings.",team_and_enterprise,replied,product_issue,Seat access changes require organization-level permissions.,0.94,data/claude/team-and-enterprise-plans/admin-management/13393991-purchase-and-manage-seats-on-enterprise-plans.md|data/claude/team-and-enterprise-plans/security-and-compliance/12053672-what-happens-to-a-user-s-data-when-they-are-removed-from-a-team-or-enterprise-organization.md|data/claude/team-and-enterprise-plans/billing/11526368-how-am-i-billed-for-my-enterprise-plan.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]",Test Score Dispute,DevPlatform,"DevPlatform's candidate-support guidance says DevPlatform does not make hiring decisions, reschedule assessments or interviews, grant testing accommodations, or modify a company's hiring workflow. Requests like score reviews, retests, reschedules, or candidate-specific decisions need to go to the recruiter or hiring team that sent the assessment. If they believe a platform issue affected the result, they can escalate it to DevPlatform support on the candidate's behalf.",candidate_support,replied,product_issue,Candidate-specific workflow decisions belong to the recruiter or hiring team.,0.96,data/devplatform/general-help/additional-resources/6477583642-ensuring-a-great-candidate-experience.md|data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md|data/devplatform/integrations/applicant-tracking-systems/workday/1999755553-workday---hackerrank-tests-user-guide.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]",Help,Visa,"Visa's consumer support page says disputed charges should be handled through your issuer or bank using the number on the card, and the issuer will usually need transaction details to review the case. If your concern is with a merchant's behavior, the Visa support page also points cardholders to the merchant-concern reporting form. Visa does not directly manage cardholder accounts or merchant accounts the way an issuing bank does.",disputes,replied,product_issue,Answered with the documented issuer-led dispute path.,0.93,data/visa/support.md|data/visa/support/small-business/dispute-resolution.md|data/visa/support/consumer/visa-rules.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]",Why are my mock interviews not working,DevPlatform,"DevPlatform's mock-interview billing articles say users should contact help@devplatform.com if a mock interview purchase was accidental or they were not satisfied with the experience. The payment FAQ also says incorrectly deducted amounts are typically refunded within 5-10 business days. Because your mock interview stopped mid-session and you are requesting a refund, this should be reviewed through that billing support path.",billing,replied,product_issue,Answered with the documented mock-interview billing and refund guidance.,0.94,data/devplatform/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md|data/devplatform/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]",Give me my money,DevPlatform,"DevPlatform's billing docs say payment-method changes and invoice access are handled in the Billing or Manage Subscription area, and the payment FAQ says failed or incorrect charges are typically refunded within 5-10 business days. If you are reporting a specific payment problem tied to an order ID, include that ID in your billing request so support can investigate the exact charge.",billing,replied,product_issue,Answered with the available DevPlatform billing and payment guidance.,0.84,data/devplatform/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md|data/devplatform/settings/user-account-settings-and-preferences/4255542979-manage-subscriptions.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]",Using DevPlatform for hiring,DevPlatform,"Security questionnaires, vendor-review forms, and compliance reviews need a human sales, security, or account team rather than automated support. Please route this through the appropriate DevPlatform commercial or security contact.",security,escalated,product_issue,Escalated a vendor security or compliance review request.,0.95,,high,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""department"": ""security"", ""summary"": ""Using DevPlatform for hiring I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}}]"
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working",DevPlatform,"The QuickApply article says the Apply tab is part of DevPlatform Community and is used to start the QuickApply setup flow. From DevPlatform Community, go to the Apply tab and choose See how it works, or install the QuickApply Chrome extension from the Chrome Web Store. If you are already in DevPlatform Community and the tab still does not appear, contact support with a screenshot because the corpus does not document a deeper self-service fix.",job_search,replied,product_issue,Answered with the documented QuickApply and Apply-tab flow.,0.88,data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/7358354033-set-up-quick-apply.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]",Issue while taking the test,DevPlatform,"This sounds like a platform-side incident rather than a normal self-service question. DevPlatform's support guidance says broader technical issues should be escalated when they appear systemic, and the status page should be checked for active incidents.",technical,escalated,bug,Escalated a likely platform incident or widespread submission failure.,0.9,data/devplatform/skillup/getting-started/7992263058-weekly-challenges.md|data/devplatform/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md,high,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""department"": ""technical"", ""summary"": ""Issue while taking the test none of the submissions across any challenges are working on your website""}}]"
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]",I am facing an blocker while doing compatible check,DevPlatform,"DevPlatform's candidate-support guidance recommends reviewing the candidate preparation resources for browser compatibility, network stability, and system permissions before the test. If the compatibility check is still blocking the assessment, contact the recruiter or hiring team so they can evaluate the impact and escalate it to DevPlatform support if needed.",candidate_support,replied,product_issue,Provided the documented candidate-support workflow for a compatibility issue.,0.85,data/devplatform/general-help/additional-resources/6477583642-ensuring-a-great-candidate-experience.md|data/devplatform/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md|data/devplatform/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]",,DevPlatform,"DevPlatform's candidate-support guidance says DevPlatform does not make hiring decisions, reschedule assessments or interviews, grant testing accommodations, or modify a company's hiring workflow. Requests like score reviews, retests, reschedules, or candidate-specific decisions need to go to the recruiter or hiring team that sent the assessment. If they believe a platform issue affected the result, they can escalate it to DevPlatform support on the candidate's behalf.",candidate_support,replied,product_issue,Candidate-specific workflow decisions belong to the recruiter or hiring team.,0.96,data/devplatform/general-help/additional-resources/6477583642-ensuring-a-great-candidate-experience.md|data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md|data/devplatform/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md,low,false,en,[]
